;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    279      4725.111 DT     0080 Rx 0  
    280      4735.086 DT     0080 Rx 0  
    281      4745.065 DT     0080 Rx 0  
    282      4755.040 DT     0080 Rx 0  
    283      4765.017 DT     0080 Rx 0  
    284      4774.995 DT     0080 Rx 0  
    285      4784.972 DT     0080 Rx 0  
    286      4794.948 DT     0080 Rx 0  
    287      4804.926 DT     0080 Rx 0  
    288      4814.900 DT     0080 Rx 0  
    289      4824.877 DT     0080 Rx 0  
    290      4834.852 DT     0080 Rx 0  
    291      4844.828 DT     0080 Rx 0  
    292      4854.804 DT     0080 Rx 0  
    293      4864.781 DT     0080 Rx 0  
    294      4874.758 DT     0080 Rx 0  
    295      4884.734 DT     0080 Rx 0  
    296      4894.712 DT     0080 Rx 0  
    297      4904.689 DT     0080 Rx 0  
    298      4914.665 DT     0080 Rx 0  
    299      4924.641 DT     0080 Rx 0  
    300      4934.619 DT     0080 Rx 0  
    301      4944.598 DT     0080 Rx 0  
    302      4954.573 DT     0080 Rx 0  
    303      4964.550 DT     0080 Rx 0  
    304      4974.527 DT     0080 Rx 0  
    305      4984.506 DT     0080 Rx 0  
    306      4994.482 DT     0080 Rx 0  
    307      5004.458 DT     0080 Rx 0  
    308      5014.437 DT     0080 Rx 0  
    309      5024.413 DT     0080 Rx 0  
    310      5034.390 DT     0080 Rx 0  
    311      5044.369 DT     0080 Rx 0  
    312      5054.345 DT     0080 Rx 0  
    313      5064.323 DT     0080 Rx 0  
    314      5074.301 DT     0080 Rx 0  
    315      5084.278 DT     0080 Rx 0  
    316      5094.254 DT     0080 Rx 0  
    317      5104.231 DT     0080 Rx 0  
    318      5114.209 DT     0080 Rx 0  
    319      5124.188 DT     0080 Rx 0  
    320      5134.165 DT     0080 Rx 0  
    321      5144.143 DT     0080 Rx 0  
    322      5154.116 DT     0080 Rx 0  
    323      5164.093 DT     0080 Rx 0  
    324      5174.069 DT     0080 Rx 0  
    325      5184.048 DT     0080 Rx 0  
    326      5194.025 DT     0080 Rx 0  
    327      5203.900 DT     0080 Rx 0  
    328      5213.875 DT     0080 Rx 0  
    329      5223.851 DT     0080 Rx 0  
    330      5233.828 DT     0080 Rx 0  
    331      5243.803 DT     0080 Rx 0  
    332      5253.779 DT     0080 Rx 0  
    333      5263.754 DT     0080 Rx 0  
    334      5273.728 DT     0080 Rx 0  
    335      5283.701 DT     0080 Rx 0  
    336      5293.674 DT     0080 Rx 0  
    337      5303.647 DT     0080 Rx 0  
    338      5313.624 DT     0080 Rx 0  
    339      5323.602 DT     0080 Rx 0  
    340      5333.575 DT     0080 Rx 0  
    341      5343.553 DT     0080 Rx 0  
    342      5353.530 DT     0080 Rx 0  
    343      5363.508 DT     0080 Rx 0  
    344      5373.484 DT     0080 Rx 0  
    345      5383.461 DT     0080 Rx 0  
    346      5393.437 DT     0080 Rx 0  
    347      5403.411 DT     0080 Rx 0  
    348      5413.387 DT     0080 Rx 0  
    349      5423.364 DT     0080 Rx 0  
    350      5433.341 DT     0080 Rx 0  
    351      5443.317 DT     0080 Rx 0  
    352      5453.292 DT     0080 Rx 0  
    353      5463.269 DT     0080 Rx 0  
    354      5473.245 DT     0080 Rx 0  
    355      5483.220 DT     0080 Rx 0  
    356      5493.195 DT     0080 Rx 0  
    357      5503.171 DT     0080 Rx 0  
    358      5513.146 DT     0080 Rx 0  
    359      5523.122 DT     0080 Rx 0  
    360      5533.100 DT     0080 Rx 0  
    361      5543.078 DT     0080 Rx 0  
    362      5553.052 DT     0080 Rx 0  
    363      5563.030 DT     0080 Rx 0  
    364      5573.006 DT     0080 Rx 0  
    365      5582.982 DT     0080 Rx 0  
    366      5592.959 DT     0080 Rx 0  
    367      5602.935 DT     0080 Rx 0  
    368      5612.911 DT     0080 Rx 0  
    369      5622.889 DT     0080 Rx 0  
    370      5632.863 DT     0080 Rx 0  
    371      5642.840 DT     0080 Rx 0  
    372      5652.814 DT     0080 Rx 0  
    373      5662.791 DT     0080 Rx 0  
    374      5672.767 DT     0080 Rx 0  
    375      5682.743 DT     0080 Rx 0  
    376      5692.721 DT     0080 Rx 0  
    377      5702.699 DT     0080 Rx 0  
    378      5712.676 DT     0080 Rx 0  
    379      5722.651 DT     0080 Rx 0  
    380      5732.629 DT     0080 Rx 0  
    381      5742.605 DT     0080 Rx 0  
    382      5752.581 DT     0080 Rx 0  
    383      5762.558 DT     0080 Rx 0  
    384      5772.534 DT     0080 Rx 0  
    385      5782.512 DT     0080 Rx 0  
    386      5792.488 DT     0080 Rx 0  
    387      5802.465 DT     0080 Rx 0  
    388      5812.441 DT     0080 Rx 0  
    389      5822.417 DT     0080 Rx 0  
    390      5832.392 DT     0080 Rx 0  
    391      5842.367 DT     0080 Rx 0  
    392      5852.343 DT     0080 Rx 0  
    393      5862.317 DT     0080 Rx 0  
    394      5872.293 DT     0080 Rx 0  
    395      5882.269 DT     0080 Rx 0  
    396      5892.245 DT     0080 Rx 0  
    397      5902.220 DT     0080 Rx 0  
    398      5905.293 DT     0601 Rx 8  40 00 10 00 00 00 00 00 
    399      5905.558 DT     0581 Rx 8  43 00 10 00 92 01 06 00 
    400      5911.272 DT     0601 Rx 8  2B 17 10 00 E8 03 01 00 
    401      5911.553 DT     0581 Rx 8  60 17 10 00 00 00 00 00 
    402      5911.620 DT     0701 Rx 1  7F 
    403      5912.197 DT     0080 Rx 0  
    404      5917.260 DT     0601 Rx 8  2F 00 16 00 00 00 90 EC 
    405      5917.638 DT     0581 Rx 8  60 00 16 00 00 00 00 00 
    406      5921.246 DT     0601 Rx 8  23 00 16 01 10 00 40 60 
    407      5921.560 DT     0581 Rx 8  60 00 16 01 00 00 00 00 
    408      5922.172 DT     0080 Rx 0  
    409      5927.231 DT     0601 Rx 8  23 00 16 02 20 00 7A 60 
    410      5927.565 DT     0581 Rx 8  60 00 16 02 00 00 00 00 
    411      5932.144 DT     0080 Rx 0  
    412      5933.215 DT     0601 Rx 8  2F 00 16 00 02 00 F6 A8 
    413      5933.926 DT     0581 Rx 8  60 00 16 00 00 00 00 00 
    414      5937.205 DT     0601 Rx 8  2F 01 16 00 00 00 F6 A8 
    415      5937.585 DT     0581 Rx 8  60 01 16 00 00 00 00 00 
    416      5942.117 DT     0080 Rx 0  
    417      5943.191 DT     0601 Rx 8  23 01 16 01 20 01 C1 60 
    418      5943.423 DT     0581 Rx 8  60 01 16 01 00 00 00 00 
    419      5949.175 DT     0601 Rx 8  23 01 16 02 20 02 C1 60 
    420      5949.530 DT     0581 Rx 8  60 01 16 02 00 00 00 00 
    421      5952.094 DT     0080 Rx 0  
    422      5953.164 DT     0601 Rx 8  2F 01 16 00 02 00 F6 A8 
    423      5953.899 DT     0581 Rx 8  60 01 16 00 00 00 00 00 
    424      5959.150 DT     0601 Rx 8  2F 02 16 00 00 00 F6 A8 
    425      5959.522 DT     0581 Rx 8  60 02 16 00 00 00 00 00 
    426      5962.068 DT     0080 Rx 0  
    427      5967.130 DT     0601 Rx 8  2F 02 16 00 00 00 F6 A8 
    428      5967.398 DT     0581 Rx 8  60 02 16 00 00 00 00 00 
    429      5972.041 DT     0080 Rx 0  
    430      5977.100 DT     0601 Rx 8  2F 03 16 00 00 00 F6 A8 
    431      5977.527 DT     0581 Rx 8  60 03 16 00 00 00 00 00 
    432      5982.016 DT     0080 Rx 0  
    433      5983.088 DT     0601 Rx 8  2F 03 16 00 00 00 F6 A8 
    434      5983.529 DT     0581 Rx 8  60 03 16 00 00 00 00 00 
    435      5989.071 DT     0601 Rx 8  2F 00 1A 00 00 00 F6 A8 
    436      5989.372 DT     0581 Rx 8  60 00 1A 00 00 00 00 00 
    437      5991.992 DT     0080 Rx 0  
    438      5997.051 DT     0601 Rx 8  23 00 1A 01 10 00 72 20 
    439      5997.339 DT     0581 Rx 8  60 00 1A 01 00 00 00 00 
    440      6001.965 DT     0080 Rx 0  
    441      6003.036 DT     0601 Rx 8  23 00 1A 02 10 00 41 60 
    442      6003.281 DT     0581 Rx 8  60 00 1A 02 00 00 00 00 
    443      6007.027 DT     0601 Rx 8  23 00 1A 03 20 00 64 60 
    444      6007.312 DT     0581 Rx 8  60 00 1A 03 00 00 00 00 
    445      6011.940 DT     0080 Rx 0  
    446      6013.009 DT     0601 Rx 8  2F 00 1A 00 03 00 F6 A8 
    447      6013.885 DT     0581 Rx 8  60 00 1A 00 00 00 00 00 
    448      6018.997 DT     0601 Rx 8  2F 01 1A 00 00 00 F6 A8 
    449      6019.374 DT     0581 Rx 8  60 01 1A 00 00 00 00 00 
    450      6021.914 DT     0080 Rx 0  
